#SampleID	Target	Project
C_16S_2_116SD_1_rhizo_S1	16S_515_926	LH5TF
C_16S_2_116SD_1_root_S100	16S_515_926	LH5TF
C_16S_2_116SD_2_rhizo_S13	16S_515_926	LH5TF
C_16S_2_116SD_2_root_S112	16S_515_926	LH5TF
C_16S_2_116SD_3_rhizo_S25	16S_515_926	LH5TF
C_16S_2_116SD_3_root_S124	16S_515_926	LH5TF
C_16S_2_138SI_1_rhizo_S7	16S_515_926	LH5TF
C_16S_2_138SI_1_root_S106	16S_515_926	LH5TF
C_16S_2_138SI_2_rhizo_S19	16S_515_926	LH5TF
C_16S_2_138SI_2_root_S118	16S_515_926	LH5TF
C_16S_2_138SI_3_rhizo_S31	16S_515_926	LH5TF
C_16S_2_138SI_3_root_S130	16S_515_926	LH5TF
C_16S_2_224SD_1_rhizo_S37	16S_515_926	LH5TF
C_16S_2_224SD_1_root_S136	16S_515_926	LH5TF
C_16S_2_224SD_2_rhizo_S49	16S_515_926	LH5TF
C_16S_2_224SD_2_root_S148	16S_515_926	LH5TF
C_16S_2_224SD_3_rhizo_S61	16S_515_926	LH5TF
C_16S_2_224SD_3_root_S160	16S_515_926	LH5TF
C_16S_2_248SI_1_rhizo_S43	16S_515_926	LH5TF
C_16S_2_248SI_1_root_S142	16S_515_926	LH5TF
C_16S_2_248SI_2_rhizo_S55	16S_515_926	LH5TF
C_16S_2_248SI_2_root_S154	16S_515_926	LH5TF
C_16S_2_248SI_3_rhizo_S67	16S_515_926	LH5TF
C_16S_2_248SI_3_root_S166	16S_515_926	LH5TF
C_16S_2_313SI_1_rhizo_S79	16S_515_926	LH5TF
C_16S_2_313SI_1_root_S178	16S_515_926	LH5TF
C_16S_2_313SI_2_rhizo_S91	16S_515_926	LH5TF
C_16S_2_313SI_2_root_S190	16S_515_926	LH5TF
C_16S_2_313SI_3_rhizo_S8	16S_515_926	LH5TF
C_16S_2_313SI_3_root_S107	16S_515_926	LH5TF
C_16S_2_335SD_1_rhizo_S73	16S_515_926	LH5TF
C_16S_2_335SD_1_root_S172	16S_515_926	LH5TF
C_16S_2_335SD_2_rhizo_S85	16S_515_926	LH5TF
C_16S_2_335SD_2_root_S184	16S_515_926	LH5TF
C_16S_2_335SD_3_rhizo_S2	16S_515_926	LH5TF
C_16S_2_335SD_3_root_S101	16S_515_926	LH5TF
C_16S_2_335SD_3_soil_S97	16S_515_926	LH5TF
C_16S_2_403SD_1_rhizo_S14	16S_515_926	LH5TF
C_16S_2_403SD_1_root_S113	16S_515_926	LH5TF
C_16S_2_403SD_2_rhizo_S26	16S_515_926	LH5TF
C_16S_2_403SD_2_root_S125	16S_515_926	LH5TF
C_16S_2_403SD_3_rhizo_S38	16S_515_926	LH5TF
C_16S_2_403SD_3_root_S137	16S_515_926	LH5TF
C_16S_2_404SI_1_rhizo_S20	16S_515_926	LH5TF
C_16S_2_404SI_1_root_S119	16S_515_926	LH5TF
C_16S_2_404SI_2_rhizo_S32	16S_515_926	LH5TF
C_16S_2_404SI_2_root_S131	16S_515_926	LH5TF
C_16S_2_404SI_3_rhizo_S44	16S_515_926	LH5TF
C_16S_2_404SI_3_root_S143	16S_515_926	LH5TF
C_16S_3_109SI_1_rhizo_S56	16S_515_926	LH5TF
C_16S_3_109SI_1_root_S155	16S_515_926	LH5TF
C_16S_3_109SI_2_rhizo_S68	16S_515_926	LH5TF
C_16S_3_109SI_2_root_S167	16S_515_926	LH5TF
C_16S_3_109SI_3_rhizo_S80	16S_515_926	LH5TF
C_16S_3_109SI_3_root_S179	16S_515_926	LH5TF
C_16S_3_122SD_1_rhizo_S50	16S_515_926	LH5TF
C_16S_3_122SD_1_root_S149	16S_515_926	LH5TF
C_16S_3_122SD_2_rhizo_S62	16S_515_926	LH5TF
C_16S_3_122SD_2_root_S161	16S_515_926	LH5TF
C_16S_3_122SD_3_rhizo_S74	16S_515_926	LH5TF
C_16S_3_122SD_3_root_S173	16S_515_926	LH5TF
C_16S_3_208SI_1_rhizo_S92	16S_515_926	LH5TF
C_16S_3_208SI_1_root_S191	16S_515_926	LH5TF
C_16S_3_208SI_2_rhizo_S9	16S_515_926	LH5TF
C_16S_3_208SI_2_root_S108	16S_515_926	LH5TF
C_16S_3_208SI_3_rhizo_S21	16S_515_926	LH5TF
C_16S_3_208SI_3_root_S120	16S_515_926	LH5TF
C_16S_3_245SD_1_rhizo_S86	16S_515_926	LH5TF
C_16S_3_245SD_1_root_S185	16S_515_926	LH5TF
C_16S_3_245SD_2_rhizo_S3	16S_515_926	LH5TF
C_16S_3_245SD_2_root_S102	16S_515_926	LH5TF
C_16S_3_245SD_3_rhizo_S15	16S_515_926	LH5TF
C_16S_3_245SD_3_root_S114	16S_515_926	LH5TF
C_16S_3_301SI_1_rhizo_S33	16S_515_926	LH5TF
C_16S_3_301SI_1_root_S132	16S_515_926	LH5TF
C_16S_3_301SI_2_rhizo_S45	16S_515_926	LH5TF
C_16S_3_301SI_2_root_S144	16S_515_926	LH5TF
C_16S_3_301SI_3_rhizo_S57	16S_515_926	LH5TF
C_16S_3_301SI_3_root_S156	16S_515_926	LH5TF
C_16S_3_338SD_1_rhizo_S27	16S_515_926	LH5TF
C_16S_3_338SD_1_root_S126	16S_515_926	LH5TF
C_16S_3_338SD_2_rhizo_S39	16S_515_926	LH5TF
C_16S_3_338SD_2_root_S138	16S_515_926	LH5TF
C_16S_3_338SD_3_rhizo_S51	16S_515_926	LH5TF
C_16S_3_338SD_3_root_S150	16S_515_926	LH5TF
C_16S_3_413SI_1_rhizo_S69	16S_515_926	LH5TF
C_16S_3_413SI_1_root_S168	16S_515_926	LH5TF
C_16S_3_413SI_2_rhizo_S81	16S_515_926	LH5TF
