#SampleID	Target	Project
AN10384_S103	16S_515_926	LRBM9
AN10391_S7	16S_515_926	LRBM9
AY01122_S64	16S_515_926	LRBM9
BD00302_S72	16S_515_926	LRBM9
BOV_NTC1_S96	16S_515_926	LRBM9
BS01009_S1	16S_515_926	LRBM9
C_16S_2_P116_R1_SI_soil_S111	16S_515_926	LRBM9
C_16S_2_P116_R2_SI_soil_S123	16S_515_926	LRBM9
C_16S_2_P116_R3_SI_soil_S135	16S_515_926	LRBM9
C_16S_2_P145_R1_SD_soil_S118	16S_515_926	LRBM9
C_16S_2_P145_R2_SD_soil_S130	16S_515_926	LRBM9
C_16S_2_P145_R3_SD_soil_S142	16S_515_926	LRBM9
C_16S_2_P242_R1_SD_soil_S167	16S_515_926	LRBM9
C_16S_2_P242_R2_SD_soil_S179	16S_515_926	LRBM9
C_16S_2_P242_R3_SD_soil_S191	16S_515_926	LRBM9
C_16S_2_P246_R1_SI_soil_S173	16S_515_926	LRBM9
C_16S_2_P246_R2_SI_soil_S185	16S_515_926	LRBM9
C_16S_2_P246_R3_SI_soil_S197	16S_515_926	LRBM9
C_16S_2_P327_R1_SD_soil_S180	16S_515_926	LRBM9
C_16S_2_P327_R2_SD_soil_S192	16S_515_926	LRBM9
C_16S_2_P327_R3_SD_soil_S109	16S_515_926	LRBM9
C_16S_2_P335_R1_SI_soil_S150	16S_515_926	LRBM9
C_16S_2_P335_R2_SI_soil_S162	16S_515_926	LRBM9
C_16S_2_P335_R3_SI_soil_S174	16S_515_926	LRBM9
C_16S_2_P401_R1_SD_soil_S157	16S_515_926	LRBM9
C_16S_2_P401_R2_SD_soil_S169	16S_515_926	LRBM9
C_16S_2_P401_R3_SD_soil_S181	16S_515_926	LRBM9
C_16S_2_P421_R1_SI_soil_S199	16S_515_926	LRBM9
C_16S_2_P421_R2_SI_soil_S116	16S_515_926	LRBM9
C_16S_2_P421_R3_SI_soil_S128	16S_515_926	LRBM9
C_16S_3_P135_R1_SI_soil_S124	16S_515_926	LRBM9
C_16S_3_P135_R2_SI_soil_S136	16S_515_926	LRBM9
C_16S_3_P135_R3_SI_soil_S148	16S_515_926	LRBM9
C_16S_3_P143_R1_SD_soil_S177	16S_515_926	LRBM9
C_16S_3_P143_R2_SD_soil_S189	16S_515_926	LRBM9
C_16S_3_P143_R3_SD_soil_S106	16S_515_926	LRBM9
C_16S_3_P218_R1_SD_soil_S190	16S_515_926	LRBM9
C_16S_3_P218_R2_SD_soil_S107	16S_515_926	LRBM9
C_16S_3_P218_R3_SD_soil_S119	16S_515_926	LRBM9
C_16S_3_P220_R1_SI_soil_S196	16S_515_926	LRBM9
C_16S_3_P220_R2_SI_soil_S113	16S_515_926	LRBM9
C_16S_3_P220_R3_SI_soil_S125	16S_515_926	LRBM9
C_16S_3_P319_R1_SD_soil_S108	16S_515_926	LRBM9
C_16S_3_P319_R2_SD_soil_S120	16S_515_926	LRBM9
C_16S_3_P319_R3_SD_soil_S132	16S_515_926	LRBM9
C_16S_3_P321_R1_SI_soil_S114	16S_515_926	LRBM9
C_16S_3_P321_R2_SI_soil_S126	16S_515_926	LRBM9
C_16S_3_P321_R3_SI_soil_S138	16S_515_926	LRBM9
C_16S_3_P427_R1_SD_soil_S193	16S_515_926	LRBM9
C_16S_3_P427_R2_SD_soil_S110	16S_515_926	LRBM9
C_16S_3_P427_R3_SD_soil_S122	16S_515_926	LRBM9
C_16S_3_P439_R1_SI_soil_S140	16S_515_926	LRBM9
C_16S_3_P439_R2_SI_soil_S152	16S_515_926	LRBM9
C_16S_3_P439_R3_SI_soil_S164	16S_515_926	LRBM9
C_16S_4_P103_R1_SD_soil_S105	16S_515_926	LRBM9
C_16S_4_P103_R2_SD_soil_S117	16S_515_926	LRBM9
C_16S_4_P103_R3_SD_soil_S129	16S_515_926	LRBM9
C_16S_4_P133_R1_SI_soil_S183	16S_515_926	LRBM9
C_16S_4_P133_R2_SI_soil_S195	16S_515_926	LRBM9
C_16S_4_P133_R3_SI_soil_S112	16S_515_926	LRBM9
C_16S_4_P209_R1_SD_soil_S154	16S_515_926	LRBM9
C_16S_4_P209_R2_SD_soil_S166	16S_515_926	LRBM9
C_16S_4_P209_R3_SD_soil_S178	16S_515_926	LRBM9
C_16S_4_P238_R1_SI_soil_S137	16S_515_926	LRBM9
C_16S_4_P238_R2_SI_soil_S149	16S_515_926	LRBM9
C_16S_4_P238_R3_SI_soil_S161	16S_515_926	LRBM9
C_16S_4_P336_R1_SI_soil_S186	16S_515_926	LRBM9
C_16S_4_P336_R2_SI_soil_S198	16S_515_926	LRBM9
C_16S_4_P336_R3_SI_soil_S115	16S_515_926	LRBM9
C_16S_4_P345_R1_SD_soil_S121	16S_515_926	LRBM9
